id,"distribution_rating","partid","confidence_rating"
173,"uniform","ph8am4qfr8","34"
174,"normal","pn04o5bf0d","28"
175,"uniform","p3qiq3cvs7","35"
176,"normal","phbo0m43bh","46"
177,"normal","p76regp4bm","12"
178,"normal","p871ada8ob","19"
179,"uniform","psik40o7g5","38"
180,"normal","pd089crh0c","19"
181,"normal","piuhjt7i4q","50"
182,"normal","ptrrburgl2","50"
183,"normal","pqfqb0ljjr","23"
184,"normal","p1ittgop7n","35"
185,"normal","po0b5rqdhv","18"
186,"normal","pnkjrnatsa","24"
187,"normal","pc13qomof4","20"
188,"normal","p5jvrmiq1e","39"
189,"normal","p7eps5fav4","38"
190,"normal","paiktcpf03","36"
191,"uniform","pi00aas8kh","47"
192,"normal","pkd5almter","28"
193,"normal","p1rrlo9kjr","42"
194,"normal","pvjvm8b9ov","37"
195,"uniform","ppj489ksh5","19"
196,"normal","p6qhrsqnnr","43"
197,"normal","pcdsba4mkp","33"
198,"normal","pg3423me4a","31"
199,"normal","peoqph9qsg","29"
200,"normal","p0ig5mopcd","39"
201,"normal","peqcc6r3ae","39"
202,"normal","prsil5372c","19"
203,"normal","p94aq88cnr","33"
204,"normal","plesva8j5c","39"
205,"uniform","pu36hqlrmj","10"
206,"normal","p7lhcqq138","30"
207,"normal","pvvegj7hli","24"
208,"normal","pk4b2i1d4t","24"
209,"uniform","p2st1k79gc","23"
210,"uniform","p5c535lsec","40"
211,"normal","p32avnb2n3","33"
212,"normal","p45hii6v71","41"
213,"uniform","psjjjloeaa","8"
214,"normal","p7lvs1n9k2","31"
215,"normal","p84q3hi6dc","32"
216,"normal","p0qqkh5442","30"
217,"normal","p00e6a0jas","35"
218,"uniform","p5gpnk9dic","39"
219,"normal","pf9n645ghj","33"
220,"uniform","p96598u38r","26"
221,"uniform","pn55e7hglu","35"
222,"normal","p7itj97935","24"
223,"normal","p54a9se3hs","42"
224,"normal","pivbs82pp8","33"
225,"normal","prjk36nhsg","37"
226,"normal","pnlh6931qr","36"
227,"normal","pbbsr0k0et","45"
228,"normal","pm8vvg30lu","27"
229,"normal","p3mhdvmmnv","45"
230,"normal","pphbdesb36","43"
231,"normal","pj7elj33fb","38"
232,"normal","ptachhm3bi","14"
233,"uniform","p1lja2o35c","18"
234,"normal","p2a0j57skb","30"
235,"normal","poqo2653ru","22"
236,"normal","p110fc4ak7","6"
237,"normal","pdi0jkfpes","29"
238,"normal","p34g2f5l4r","19"
239,"uniform","p875fo3qvg","15"
240,"normal","pnq0t6juif","34"
241,"normal","p4l2b7gj21","17"
242,"normal","p7o6avebhl","30"
243,"normal","p5jhkon19d","36"
244,"uniform","pfppe02lr1","49"
245,"normal","pb1cscoora","31"
246,"normal","pa3pjcd12u","24"
247,"normal","pbes0benml","39"
248,"normal","p218nle8mh","35"
249,"normal","pntablbe56","24"
250,"uniform","pmbthn6dul","40"
251,"normal","padodhgbto","44"
252,"normal","p5agqgh208","24"
253,"normal","psngg50si7","45"
254,"uniform","p34jmpo88f","26"
255,"normal","puptiaujkq","26"
256,"normal","pd227runam","25"
257,"normal","p81ap6chrj","43"
258,"normal","ppm91fc22j","24"
259,"uniform","pt1kftc8lc","28"
260,"uniform","p2ebhkl02a","23"
261,"normal","phrng5lt5g","11"
262,"uniform","pu9r8qc1kc","34"
263,"normal","ptv5gvvnoa","37"
264,"normal","pjujc50mfv","18"
265,"normal","pe19eu8f5j","15"
266,"normal","pv44cpe1h9","30"
267,"uniform","ph4aksb45f","44"
268,"normal","p3hg26dqea","36"
269,"normal","pcgp3iji2a","29"
270,"uniform","p3pafq2rf5","36"
271,"normal","p8ul2fmeei","16"
272,"uniform","phbmbq04d5","41"
273,"normal","puv7bc69ft","25"
274,"normal","p39i5o1brj","33"
275,"normal","pgl9cemrgp","31"
276,"normal","pm0mgcurkl","43"
277,"normal","puc55nil0u","39"
278,"uniform","p5gd6dj3r4","24"
279,"normal","pimmg48uv1","30"
280,"normal","prq3tdfnnb","37"
281,"normal","pm5h6dkknh","40"
282,"uniform","poh7l11esu","35"
283,"uniform","popmnak5pq","31"
284,"normal","pmrp7o68o6","22"
285,"normal","pvse8fc08t","36"
286,"normal","p1mnhod90b","50"
287,"uniform","p1tp1lq0m6","5"
288,"normal","pk310v70o1","26"
289,"normal","ptfum7acli","47"
290,"normal","pbjia6u8ls","34"
291,"normal","p4d0thcgfe","35"
292,"uniform","p25knhvsj4","0"
293,"normal","p96uclig9k","44"
294,"normal","peb92s417h","37"
295,"normal","pbcemmc84c","34"
296,"uniform","pd2d6nta56","33"
297,"normal","pevs72fcse","38"
298,"uniform","pjm4cvc9ti","13"
299,"normal","pikbh8p11n","31"
300,"uniform","pn2rd6kiaj","31"
301,"normal","pbg0ain4kb","24"
302,"normal","p0h1r83hh7","29"
303,"normal","p3qsvhiq2r","21"
304,"normal","p7jujqdvd0","43"
305,"normal","pu9llbv8l7","26"
306,"normal","pua0ii9p4k","29"
307,"normal","ppcfdsa9or","49"
308,"uniform","piplmtivtm","30"
309,"uniform","plhe7o1oio","41"
310,"normal","pup2pl8rt5","37"
311,"normal","pri0hvupjg","48"
312,"normal","pif9spl72s","34"
313,"normal","p5bp8eq9n8","26"
314,"uniform","pcgjn71sis","0"
315,"normal","ptvcnotetj","39"
316,"uniform","pd6mivtjvq","24"
317,"normal","p2hthf58qu","24"
318,"normal","p9tm02k843","46"
319,"normal","pf3ne7haje","13"
320,"uniform","pvp60obfoa","32"
321,"uniform","po9cqcifpk","13"
322,"normal","p5o8svbnhq","28"
323,"normal","phul8cqcf4","42"
324,"normal","p6i054u70v","37"
325,"normal","p76ql4noif","46"
326,"normal","ptt8ovcot2","19"
327,"normal","p4kqt9gaa6","46"
328,"normal","pulq6nga8r","35"
329,"normal","p7a57kt96s","29"
330,"normal","pvtcdf8i38","44"
331,"uniform","p7d0m87pkq","28"
332,"normal","pt90gtgs54","36"
333,"normal","pptrplovu7","42"
334,"normal","p3e2b3vfvo","37"
335,"normal","p7ura0re2t","29"
336,"normal","pb0pv404qg","18"
337,"normal","pqpvdcba9q","39"
338,"normal","pttqtn02ut","24"
339,"normal","pkk3lo9v4e","9"
340,"normal","ppk3iqmh0t","36"
341,"normal","p9c0rbdsnm","29"
342,"normal","prkdak12ij","44"
343,"normal","pfmr5sg42h","14"
344,"normal","p3uvr27l2d","39"
345,"normal","p4jtgatknu","43"
346,"normal","pj4agr4cbi","29"
347,"normal","phbiuhbodu","46"
348,"normal","p1rn7l58s4","43"
349,"normal","pdfs2s4tuv","16"
350,"normal","prigue3r0l","35"
351,"uniform","pvmvk3ur5d","18"
352,"normal","p5f7um040a","26"
353,"normal","p7gahpqpkj","9"
354,"uniform","pb887s29pk","44"
355,"normal","pdfk5dij3q","39"
356,"normal","pmku1p15aj","43"
357,"normal","p1qd74rpug","36"
358,"normal","pcmf5bdpvs","50"
359,"normal","pqv6q6idrs","39"
360,"normal","po401f9o36","30"
361,"normal","pns5doe91o","39"
362,"normal","p1l4dqjte2","33"
363,"normal","p83b1rghn9","25"
364,"normal","pfi6r8p08h","45"
365,"normal","ps17df6f7a","29"
366,"normal","pme0qnpl0j","22"
367,"normal","p3pj987k9q","50"
368,"normal","p3qafkl4t0","37"
369,"normal","p7k625ak4f","32"
370,"normal","pm8rdvj1tn","35"
371,"normal","p2r0dg082m","31"
372,"normal","pur9sqtj06","48"
373,"normal","pc66urv9r9","33"
374,"normal","pbtt1eqtld","33"
375,"normal","pif2njotsb","26"
376,"normal","p9mue6aht9","25"
377,"normal","pboa6ob573","39"
378,"normal","p085lk6lsa","42"
379,"normal","p5uku3kfe0","36"
380,"uniform","p5qt4i8e34","13"
381,"uniform","psenf964i3","21"
382,"normal","p7qc8llgs1","16"
383,"normal","plkh2mavui","42"
384,"normal","pkftjqo4bo","36"
385,"normal","p2ptpto6s5","41"
386,"normal","p9ersqcl1f","43"
387,"normal","pgemliimpk","36"
388,"normal","pr43a75b9b","45"
389,"normal","pun0tpvo4u","37"
390,"normal","pv5bo4ccno","25"
391,"uniform","p977uaho8b","40"
392,"normal","p2b32ppio1","34"
393,"normal","ptdtse6gag","38"
394,"normal","ph98tlb6q4","35"
395,"uniform","p5ef9u14sb","23"
396,"normal","pl0htdvbrc","37"
397,"normal","pea4oha9vm","21"
398,"normal","pp19ncf91k","47"
399,"normal","pntsjk6ete","48"
400,"normal","pfgll3n1o2","43"
401,"normal","pcpbp823s4","42"
402,"normal","pj7cs33kdn","26"
403,"normal","ped7fncafs","19"
404,"normal","p58u2v4ccd","31"
405,"normal","pn7lq19f85","41"
406,"normal","pb2bdgl971","46"
407,"normal","p2bjanqvo7","40"
408,"uniform","p0evvn3ut5","31"
409,"normal","p2521vbthn","41"
410,"normal","pd2gpvnm01","36"
411,"normal","pt7sshg3fh","19"
412,"normal","pqd8ou00qj","24"
