id,"partid",age,"sex","job","education"
567,"pu9u3vl9f7",35,"female","working","bachelor"
568,"prjk36nhsg",48,"female","working","bachelor"
569,"pjf0u4cjc1",36,"male","working","bachelor"
570,"p0gpi0a6v1",69,"male","retired","bachelor"
571,"p3e2b3vfvo",33,"female","unemployed","high_school"
572,"p9al9ohkgj",26,"female","working","bachelor"
573,"paae9hkmks",34,"female","working","bachelor"
574,"pdmontttkk",38,"female","working","professional"
575,"p0qqkh5442",45,"female","working","bachelor"
576,"ppnqdk6dl2",30,"female","unemployed","bachelor"
577,"pu9llbv8l7",54,"female","working","bachelor"
578,"pbfltesp22",43,"female","working","professional"
579,"poa9a10rql",45,"female","working","high_school"
580,"ph3bsp1lvr",48,"female","working","high_school"
581,"p0ig5mopcd",33,"female","working","high_school"
582,"p626941p7g",49,"male","working","bachelor"
583,"prq3tdfnnb",30,"male","working","bachelor"
584,"pc4pdiahcr",30,"male","working","professional"
585,"pqcolm7nku",22,"male","working","high_school"
586,"phdvocqtdh",40,"male","working","master"
587,"p45hii6v71",37,"male","unemployed","professional"
588,"pukb53oil6",32,"male","working","high_school"
589,"pbes0benml",55,"female","working","bachelor"
590,"pmrp7o68o6",43,"male","working","high_school"
591,"p0lm91nst3",32,"female","working","bachelor"
592,"ppc9t9bm46",62,"female","retired","high_school"
593,"p665li8efm",46,"female","working","bachelor"
594,"paclhntdh1",34,"female","working","master"
595,"pj4r8cvdtp",53,"male","working","high_school"
596,"pj4ur7382c",53,"female","working","high_school"
597,"pb1cscoora",53,"female","working","bachelor"
598,"p5gpnk9dic",33,"female","working","primary"
599,"ptvcnotetj",39,"male","working","master"
600,"pfmr5sg42h",58,"female","unemployed","high_school"
601,"ppq89ck1ds",23,"female","working","high_school"
602,"p2bjanqvo7",42,"male","working","master"
603,"p3vt1b3vca",58,"female","working","master"
604,"p3qafkl4t0",40,"male","retired","bachelor"
605,"plscdhacpo",27,"male","working","bachelor"
606,"p7ura0re2t",41,"female","working","bachelor"
607,"p0mcj2vt8d",46,"female","working","master"
608,"ph98tlb6q4",46,"female","working","master"
609,"p0rfoufgrm",32,"female","working","bachelor"
610,"pb2bdgl971",54,"female","working","master"
611,"p76ql4noif",41,"male","working","high_school"
612,"phmlpu32b6",24,"male","working","bachelor"
613,"p58u2v4ccd",57,"female","working","high_school"
614,"p5o8svbnhq",38,"female","working","high_school"
615,"pivbs82pp8",26,"male","working","professional"
616,"pntsjk6ete",39,"female","working","master"
617,"p15804ujqf",54,"female","working","bachelor"
618,"psdf2gfqu8",50,"female","working","bachelor"
619,"pfkibbg0ld",35,"female","working","bachelor"
620,"ptjt5smlpu",77,"male","retired","master"
621,"p81ap6chrj",35,"female","working","high_school"
622,"p734dm5r08",30,"female","working","bachelor"
623,"p085lk6lsa",45,"male","working","high_school"
624,"pqtlp31nrj",40,"male","working","bachelor"
625,"pd6mivtjvq",41,"female","working","bachelor"
626,"padodhgbto",35,"male","working","master"
627,"pg01kgbfph",44,"female","working","bachelor"
628,"p1rrlo9kjr",31,"female","unemployed","professional"
629,"pj7cs33kdn",43,"female","unemployed","bachelor"
630,"p5bp8eq9n8",69,"female","retired","master"
631,"pd2d6nta56",33,"female","working","high_school"
632,"p5f7um040a",31,"female","working","professional"
633,"pnq0t6juif",40,"male","working","high_school"
634,"piplmtivtm",46,"male","working","bachelor"
635,"p3pj987k9q",52,"male","working","bachelor"
636,"pimmg48uv1",41,"female","working","high_school"
637,"p9c0rbdsnm",31,"female","working","bachelor"
638,"poqo2653ru",33,"female","unemployed","high_school"
639,"piqit3cnl4",29,"female","working","bachelor"
640,"p977uaho8b",73,"female","working","bachelor"
641,"ppm91fc22j",38,"female","unemployed","bachelor"
642,"pg6j97a0sq",37,"female","working","bachelor"
643,"pgatvmqikl",48,"female","working","high_school"
644,"pqbmp1svmo",22,"male","working","high_school"
645,"p84q3hi6dc",65,"female","retired","bachelor"
646,"pj0v6fjsgs",74,"male","retired","high_school"
647,"pi1sdprr1i",45,"female","working","professional"
648,"pgakgu6hqc",67,"female","working","bachelor"
649,"p5uku3kfe0",31,"female","unemployed","bachelor"
650,"p4nqsnridj",22,"female","working","bachelor"
651,"ptvddd1kcb",45,"female","working","high_school"
652,"pk4nhpojus",39,"female","working","master"
653,"ppql5aa0sg",35,"male","working","bachelor"
654,"p218nle8mh",64,"female","retired","high_school"
655,"pk310v70o1",27,"female","unemployed","high_school"
656,"p34jmpo88f",52,"male","working","bachelor"
657,"pap7q8aa3i",32,"male","working","master"
658,"pqpvdcba9q",43,"male","working","bachelor"
659,"pcgjn71sis",35,"male","working","high_school"
660,"p7po8kel1s",39,"female","working","bachelor"
661,"p0t1o8bg14",63,"female","working","high_school"
662,"pvse8fc08t",32,"female","unemployed","professional"
663,"p3mhdvmmnv",34,"male","working","bachelor"
664,"pd2gpvnm01",41,"male","working","high_school"
665,"pkk3lo9v4e",26,"female","unemployed","bachelor"
666,"p2upcebb5o",25,"male","working","bachelor"
667,"pd23q0fgte",53,"male","working","master"
668,"ppj489ksh5",25,"female","unemployed","high_school"
669,"p04ui3j1q7",29,"female","working","professional"
670,"p1mnhod90b",37,"male","working","bachelor"
671,"pnqkdqu7kv",28,"male","working","bachelor"
672,"pu9pm03pvi",30,"male","working","high_school"
673,"pl4n1g2k72",68,"female","retired","high_school"
674,"p9tm02k843",40,"female","working","bachelor"
675,"pc66urv9r9",41,"female","unemployed","high_school"
676,"pr71rtka9m",56,"female","working","professional"
677,"pbtt1eqtld",37,"female","working","high_school"
678,"pslauj167o",43,"female","working","bachelor"
679,"ptfum7acli",54,"female","working","high_school"
680,"pk1kv9l3k3",39,"female","working","bachelor"
681,"psngg50si7",40,"female","working","bachelor"
682,"p2ebhkl02a",58,"female","working","professional"
683,"pttqtn02ut",58,"female","working","bachelor"
684,"p54a9se3hs",29,"male","unemployed","high_school"
685,"pfppe02lr1",27,"female","working","high_school"
686,"p87cpp7u2c",28,"male","unemployed","high_school"
687,"ppcfdsa9or",36,"female","working","high_school"
688,"peoqph9qsg",32,"male","student","professional"
689,"p3o147k232",46,"female","working","bachelor"
690,"p6pl41t848",26,"male","working","professional"
691,"pk6tcg73ep",51,"female","unemployed","high_school"
692,"pnjs7t8eav",39,"male","working","bachelor"
693,"pse4itnkqd",32,"male","working","high_school"
694,"pn2rd6kiaj",61,"female","retired","master"
695,"pb0t3diuej",32,"male","working","primary"
696,"p7itj97935",33,"female","working","bachelor"
697,"pe19eu8f5j",39,"female","working","master"
698,"pjujc50mfv",34,"female","working","bachelor"
699,"pphbdesb36",37,"male","working","high_school"
700,"pbcemmc84c",36,"male","working","high_school"
701,"ptachhm3bi",22,"female","working","bachelor"
702,"po9cqcifpk",35,"male","unemployed","doctor"
703,"puv7bc69ft",27,"male","working","bachelor"
704,"prigue3r0l",58,"female","unemployed","bachelor"
705,"p1rn7l58s4",24,"female","working","master"
706,"p92g03gccd",37,"male","working","high_school"
707,"p7gmau1mcf",29,"male","working","high_school"
708,"p5gd6dj3r4",28,"male","working","bachelor"
709,"pvtcdf8i38",51,"female","working","bachelor"
710,"p8oitat33i",26,"male","working","high_school"
711,"pnlh6931qr",34,"male","working","high_school"
712,"pcv3124ion",59,"male","working","bachelor"
713,"pdsc2e1k3c",36,"female","working","high_school"
714,"pjlfp2imvb",38,"female","working","bachelor"
715,"pa3pjcd12u",45,"female","working","master"
716,"ph4aksb45f",68,"female","working","bachelor"
717,"p5jhkon19d",58,"female","working","high_school"
718,"ptt8ovcot2",29,"female","working","professional"
719,"puo5ouv79l",44,"male","working","high_school"
720,"pvn7s7cu0m",44,"male","working","master"
721,"p1l4dqjte2",29,"female","working","bachelor"
722,"po401f9o36",41,"female","working","bachelor"
723,"p9mue6aht9",38,"male","working","high_school"
724,"p3uvr27l2d",27,"female","unemployed","high_school"
725,"plbps1h8jr",54,"male","working","high_school"
726,"p2a0j57skb",36,"female","working","bachelor"
727,"pdfk5dij3q",41,"female","working","bachelor"
728,"pbki0fuqqc",31,"female","working","bachelor"
729,"p8rq4iafm7",36,"female","unemployed","bachelor"
730,"ptdtse6gag",70,"male","working","bachelor"
731,"p94aq88cnr",31,"male","working","bachelor"
732,"p4d0thcgfe",26,"male","working","bachelor"
733,"pm8rdvj1tn",25,"male","working","bachelor"
734,"pqd8ou00qj",52,"female","working","bachelor"
735,"pfgll3n1o2",32,"female","working","bachelor"
736,"pio6r28ti6",35,"male","working","bachelor"
737,"pdgkjei1n6",33,"male","working","high_school"
738,"pb0ma36n3b",30,"male","unemployed","high_school"
739,"peb92s417h",41,"male","working","high_school"
740,"pur9sqtj06",35,"male","working","high_school"
741,"pign4ooq60",26,"female","unemployed","high_school"
742,"p3qsvhiq2r",43,"female","working","master"
743,"p7jujqdvd0",23,"female","working","bachelor"
744,"plqabcq22l",25,"male","working","high_school"
745,"pboa6ob573",29,"male","unemployed","bachelor"
746,"pt1kftc8lc",30,"female","working","high_school"
747,"p110fc4ak7",35,"male","working","high_school"
748,"pfi6r8p08h",29,"male","working","high_school"
749,"pchsk1eqj8",32,"male","unemployed","high_school"
750,"pk82s6jfsm",35,"male","working","bachelor"
751,"p2t9osesfp",20,"male","student","high_school"
752,"pbbsr0k0et",28,"male","unemployed","high_school"
753,"pf9n645ghj",32,"female","working","high_school"
754,"p7lhcqq138",30,"male","unemployed","professional"
755,"pvifpj5bh7",30,"female","working","master"
756,"ptrftbn5h1",29,"female","working","high_school"
757,"pcpbp823s4",32,"female","working","high_school"
758,"p3pafq2rf5",34,"male","working","master"
759,"pif9spl72s",22,"male","working","high_school"
760,"pb0pv404qg",34,"female","working","professional"
761,"plesva8j5c",24,"female","working","high_school"
762,"pb887s29pk",33,"female","working","bachelor"
763,"p1na4en3fi",27,"male","working","high_school"
764,"p877umj5ld",48,"male","student","high_school"
765,"p34g2f5l4r",46,"female","working","professional"
766,"pfomjc0tf3",34,"male","working","bachelor"
767,"p3hg26dqea",42,"female","working","high_school"
768,"psjjjloeaa",31,"male","working","high_school"
769,"p2r0dg082m",35,"male","working","bachelor"
770,"pmku1p15aj",33,"female","working","master"
771,"p63o0a4a79",23,"female","student","high_school"
772,"phrng5lt5g",32,"male","working","bachelor"
773,"pqa9rahh5j",27,"female","working","bachelor"
774,"plruoik069",61,"male","working","professional"
775,"p8foj8j4t5",52,"male","unemployed","high_school"
776,"pulq6nga8r",34,"male","working","bachelor"
777,"p8ukfi8ilj",32,"male","working","high_school"
778,"pdj0bf7emh",22,"male","working","bachelor"
779,"pv44cpe1h9",69,"female","working","high_school"
780,"pdfs2s4tuv",37,"male","working","bachelor"
781,"p8ul2fmeei",41,"male","working","master"
782,"p8ik2tbej0",68,"female","retired","high_school"
783,"paopfavdla",28,"male","working","bachelor"
784,"pu9r8qc1kc",26,"female","working","professional"
785,"pvfaua9ije",21,"female","student","high_school"
786,"p39i5o1brj",39,"male","unemployed","bachelor"
787,"p2b32ppio1",25,"female","student","bachelor"
788,"p3q3fkq30m",32,"male","working","bachelor"
789,"pc9c1jidi2",45,"male","working","master"
790,"ptv5gvvnoa",33,"male","working","bachelor"
791,"pntablbe56",23,"male","working","bachelor"
792,"pqalrlsbvk",35,"male","student","high_school"
793,"p32avnb2n3",28,"female","working","bachelor"
794,"pm8vvg30lu",30,"female","working","master"
795,"pgemliimpk",36,"female","unemployed","bachelor"
796,"pvndmdi8qp",23,"female","working","bachelor"
797,"puptiaujkq",43,"male","working","master"
798,"p6v6cpf0an",30,"male","working","high_school"
799,"psqlvdg43l",41,"female","working","master"
800,"pt90gtgs54",31,"male","working","bachelor"
801,"p523vq0ngr",29,"female","working","bachelor"
802,"p7o6avebhl",37,"male","working","bachelor"
803,"p2prkf50ev",58,"male","working","bachelor"
804,"pjm4cvc9ti",39,"male","unemployed","master"
805,"pk2igr4ecf",35,"male","working","bachelor"
806,"pif2njotsb",29,"female","working","bachelor"
807,"pjhj0668a3",19,"male","working","high_school"
