id,"partid",age,"sex","job","education"
114,"psik40o7g5",38,"female","working","bachelor"
115,"p69fskd9tv",30,"female","working","bachelor"
116,"pi45oejfit",19,"male","student","high_school"
117,"p8378jjl8i",45,"female","working","high_school"
118,"pu36hqlrmj",35,"female","working","bachelor"
119,"p7n5pmr96k",25,"male","working","professional"
120,"p76regp4bm",56,"male","working","bachelor"
121,"p0k93tfsv4",38,"male","working","professional"
122,"p9pttnb8qi",28,"female","working","high_school"
123,"pd42584211",44,"female","unemployed","bachelor"
124,"pc7b1bvors",32,"male","working","bachelor"
125,"p2gml4hphb",29,"male","unemployed","high_school"
126,"prtu7f1ehg",51,"male","working","high_school"
127,"pc1kcoubum",40,"male","working","professional"
128,"psr7ph0mns",28,"male","student","professional"
129,"p2sjgcedoi",39,"male","working","high_school"
130,"p1un37nagi",26,"male","working","bachelor"
131,"pj4agr4cbi",30,"male","working","bachelor"
132,"pok5suhevu",52,"female","unemployed","high_school"
133,"pt9l8b5q5k",27,"female","working","bachelor"
134,"p9ppntj1q9",24,"female","student","high_school"
135,"pqpc74uav4",24,"male","unemployed","bachelor"
136,"pl5sma6eb7",40,"male","working","bachelor"
137,"pigdgu4j8l",31,"female","working","high_school"
138,"pubb288r77",22,"male","working","bachelor"
139,"pv2du6qjp3",50,"female","working","bachelor"
140,"p3h8qvps9e",25,"male","unemployed","bachelor"
141,"pfhss5lfev",31,"female","working","bachelor"
142,"ploioja4c4",23,"female","working","high_school"
143,"p6gd12kat1",36,"female","working","bachelor"
144,"p7nadkbl7t",36,"male","working","master"
145,"pmlq0r2ik4",38,"female","working","high_school"
146,"pm29tidlg8",45,"female","unemployed","bachelor"
147,"p40rjqvr7p",27,"female","unemployed","bachelor"
148,"p77fheroif",34,"male","working","bachelor"
149,"pfg8okhn71",42,"male","working","bachelor"
150,"pag2s2qvn1",36,"female","working","bachelor"
151,"pmed09f63i",32,"male","working","professional"
152,"pdes2vgc0e",40,"male","working","bachelor"
153,"pqa0rdrj4o",29,"male","working","high_school"
154,"pi9dg6b7gi",25,"male","working","high_school"
155,"p3qiq3cvs7",31,"male","working","high_school"
156,"p70uj5vjp7",60,"female","working","master"
157,"pmatinv1as",36,"female","working","bachelor"
158,"p9v7ccrnne",37,"male","working","high_school"
159,"pdb48mjaam",27,"male","working","high_school"
160,"p2lgn1v5oh",31,"male","working","high_school"
161,"pobpsb5ohp",28,"male","working","bachelor"
162,"p3amd29mc0",32,"male","working","bachelor"
163,"pei5arja54",28,"female","working","high_school"
164,"pj09e7mhg0",33,"male","working","bachelor"
165,"pn04o5bf0d",50,"female","working","bachelor"
166,"plrbt4dudu",66,"male","retired","master"
167,"popno6qocv",40,"female","working","master"
168,"pu9bj004m0",66,"female","working","high_school"
169,"p1ruq0kcna",48,"male","working","high_school"
170,"puusfjf3d9",37,"male","working","high_school"
171,"paomarumjs",43,"male","working","bachelor"
172,"po02mbu8v4",62,"female","working","professional"
173,"p4enb4d7f3",47,"male","working","bachelor"
174,"p3lm67dgfn",28,"male","student","professional"
175,"p66pkrah30",38,"male","working","master"
176,"pjh96rd0hv",40,"male","working","bachelor"
177,"pbuvbaqpmp",35,"male","working","high_school"
178,"psk1gqfigs",33,"male","working","high_school"
179,"psk1gqfigs",33,"male","working","high_school"
180,"pta4p4cmm2",40,"female","working","high_school"
181,"p1ittgop7n",43,"male","working","high_school"
182,"p871ada8ob",46,"female","working","bachelor"
183,"p2pna17uj1",46,"female","working","professional"
184,"p1o06oe1de",34,"female","working","professional"
185,"p8no32nq3l",56,"female","unemployed","master"
186,"pgtj2romg3",40,"male","working","high_school"
187,"plogptsmmh",24,"male","working","bachelor"
188,"pffr44qkeg",36,"female","working","master"
189,"p33irj0ffk",27,"female","working","high_school"
190,"pjvjpu78k8",30,"female","working","high_school"
191,"plpduvto91",37,"male","working","doctor"
192,"pf34dn3044",37,"male","working","high_school"
193,"plns93vs7o",25,"male","working","professional"
194,"pqun4lc6ns",39,"female","working","bachelor"
195,"p1ah7u2g56",31,"male","working","bachelor"
196,"p9lnrnlsms",34,"male","working","high_school"
197,"prbmblmne0",37,"female","working","bachelor"
198,"pet87fmvcr",39,"male","working","bachelor"
199,"pn65gj7s4h",26,"male","working","high_school"
200,"p2me0e8isk",33,"male","working","high_school"
201,"pbs523t724",49,"male","unemployed","bachelor"
202,"pjbc976m1d",49,"male","working","high_school"
203,"pbdpldpj73",30,"male","working","high_school"
204,"pnpunvdb4o",30,"male","working","high_school"
