id,"partid","size","time"
1,"p0bsq4m18n","31","14202"
2,"potdg4sq11","29","23583"
3,"pn7lq19f85","16","15817"
4,"p5jvrmiq1e","25","18624"
5,"p9clda2tqo","16","6478"
6,"pqh0a40b2a","21","8374"
7,"pa706ano51","28","10488"
8,"pib2ugi7io","27","10803"
9,"pvhskq4s3u","31","21385"
10,"pvd1fom18l","18","17270"
11,"pkde4f0mf8","35","33388"
12,"pvqatr99fs","20","18363"
13,"p6vgj8j47e","19","36091"
14,"pta6ef8taf","29","19017"
15,"pn0skapa6g","17","21718"
16,"p44mlpcodf","63","39553"
17,"p49vajs6in","23","12446"
18,"p98sr2rm1c","22","10121"
19,"pjpjok0rgp","27","9884"
20,"p6c2cvue6n","28","7458"
21,"pqk04quhs0","24","15024"
22,"p6te8k4lv3","22","11712"
23,"pcpvuare1q","24","8914"
24,"pjo7jhtop6","14","11323"
25,"p0b51o7qmr","12","9886"
26,"pc13qomof4","25","22222"
27,"pd5dmjd9lj","42","25438"
28,"pe65t0jkjp","46","14573"
29,"p48skc57bu","25","17415"
30,"p8lu8afsvd","24","8204"
31,"p01na4rhdm","27","11588"
32,"p541quhi8d","44","12950"
33,"pqfqb0ljjr","27","9191"
34,"pi2q4gtesv","20","22154"
35,"p5bromsu8c","46","13719"
36,"p1plt7p642","36","11437"
37,"pro129vh92","32","15860"
38,"pbjofj6u5d","24","8417"
39,"pf5a8b7j9h","19","11271"
40,"pt7sshg3fh","27","11195"
41,"p497cn32q0","23","7882"
42,"p71s990p72","16","8339"
43,"ps2p6c8vnf","19","13842"
44,"poo90upiv7","20","21076"
45,"ptqtu2doa0","16","10688"
46,"p6dmjfib30","64","39770"
47,"p189ctgjlb","31","45683"
48,"pul13keuls","17","26645"
49,"p513q9b31f","19","15768"
50,"poi6eql5rt","35","11561"
51,"pq7o1ji3vo","40","11868"
52,"p9ehuu7pm3","29","8976"
53,"p7eps5fav4","29","10946"
54,"peb1ig0cu1","26","16171"
55,"pru2esdmf3","27","23593"
56,"pig2n9d3rp","25","23310"
57,"pchqm0ghk5","21","10320"
58,"pvp60obfoa","26","11199"
59,"pmburr2gfa","38","15456"
60,"pktgoj7obf","29","29028"
61,"p6t53uthdf","10","15617"
62,"pnkjrnatsa","29","10018"
63,"pld7i21cc4","10","10098"
64,"pq6o312jin","27","7448"
65,"p9ersqcl1f","35","19113"
66,"p73l4009vr","40","21664"
67,"pij32af8h3","64","17293"
68,"pqdlmj9p6q","48","14053"
69,"p4sjeoeibp","19","16954"
70,"p7d0m87pkq","13","7673"
71,"ptrrburgl2","28","7930"
72,"phht84hjos","25","12747"
73,"p5pla4fudv","33","26796"
74,"pfipul5omv","60","29924"
75,"poh7l11esu","15","18401"
76,"phverm18oo","17","7651"
77,"pi00aas8kh","36","13936"
78,"pr5maep7rv","23","5773"
79,"pmo1m98t8t","25","15790"
80,"povvpii4dt","24","8935"
81,"ps28avdqr0","15","20604"
82,"paiktcpf03","25","14693"
83,"pse0nm7hu9","25","17461"
84,"p7017dro0l","25","11954"
85,"p3lf90su4e","29","12221"
86,"pmvg0rlovc","28","8840"
87,"pav8bblc7c","35","13461"
88,"phpk7odsfu","25","16278"
89,"pgaiibk1oi","64","36875"
90,"plvpclq88q","64","27797"
91,"p33h6kmmjv","18","12684"
92,"pptrplovu7","41","24479"
93,"p43orfp102","38","9809"
94,"pm6ik277un","30","9740"
95,"pe210vdc3c","18","7820"
