id,"partid","size","time"
96,"p7mh5omcb7","15","10218"
97,"po4rn86je3","20","25964"
98,"pa8nsrju5u","15","12960"
99,"pv9ctacbi5","25","13317"
100,"pdv2ibjejn","34","12213"
101,"pmvglhns1p","24","8763"
102,"p3hikhm3tk","48","18718"
103,"p5qt4i8e34","5","7477"
104,"pt496nc3ft","31","6798"
105,"plv4iefs9s","25","19522"
106,"p6me4o7rkg","31","14391"
107,"pv6tcabu3q","21","13376"
108,"pd06im8fjg","26","10998"
109,"p36rt8tq3k","6","5806"
110,"poc0dfi7r9","15","12827"
111,"po4sspvsrm","23","29142"
112,"pu8cl6ikfo","17","28118"
113,"plua2fs49l","30","22925"
114,"psik40o7g5","22","11417"
115,"p69fskd9tv","40","12585"
116,"pu36hqlrmj","20","8662"
117,"pi45oejfit","20","10008"
118,"pu36hqlrmj","20","8662"
119,"p8378jjl8i","25","23872"
120,"p7n5pmr96k","34","34378"
121,"p76regp4bm","14","13411"
122,"p73dpbq5ac","64","28756"
123,"p0k93tfsv4","32","11460"
124,"p9pttnb8qi","31","8561"
125,"pd42584211","20","10739"
126,"pc7b1bvors","27","8970"
127,"p2gml4hphb","25","18180"
128,"prtu7f1ehg","19","12055"
129,"pc1kcoubum","24","10414"
130,"psr7ph0mns","31","12416"
131,"p2sjgcedoi","23","20007"
132,"p1un37nagi","16","5316"
133,"pok5suhevu","16","18342"
134,"pj4agr4cbi","20","25332"
135,"pt9l8b5q5k","36","12954"
136,"p9ppntj1q9","28","11594"
137,"pqpc74uav4","23","11589"
138,"pl5sma6eb7","29","15146"
139,"pigdgu4j8l","24","13527"
140,"pubb288r77","25","8017"
141,"pv2du6qjp3","13","8166"
142,"p3h8qvps9e","21","11396"
143,"pfhss5lfev","19","10484"
144,"ploioja4c4","61","17368"
145,"p6gd12kat1","47","11212"
146,"p7nadkbl7t","20","7260"
147,"pmlq0r2ik4","25","23174"
148,"pm29tidlg8","23","15502"
149,"p40rjqvr7p","23","8304"
150,"p77fheroif","64","16689"
151,"pfg8okhn71","25","10528"
152,"pag2s2qvn1","19","6842"
153,"pqa0rdrj4o","20","11497"
154,"pmed09f63i","22","9033"
155,"pdes2vgc0e","34","11029"
156,"p70uj5vjp7","25","16619"
157,"p3qiq3cvs7","41","37851"
158,"pi9dg6b7gi","39","24324"
159,"pmatinv1as","20","16575"
160,"p9v7ccrnne","20","10251"
161,"pdb48mjaam","27","15776"
162,"p2lgn1v5oh","49","9719"
163,"p3amd29mc0","19","7360"
164,"pobpsb5ohp","16","6572"
165,"pei5arja54","19","8649"
166,"pj09e7mhg0","42","11742"
167,"plrbt4dudu","25","18510"
168,"pu9bj004m0","20","23807"
169,"pn04o5bf0d","41","19635"
170,"popno6qocv","20","12358"
171,"puusfjf3d9","34","31165"
172,"p1ruq0kcna","28","9351"
173,"paomarumjs","24","8104"
174,"po02mbu8v4","32","18953"
175,"p4enb4d7f3","15","20077"
176,"p3lm67dgfn","20","13578"
177,"p66pkrah30","40","10446"
178,"pjh96rd0hv","42","32316"
179,"pbuvbaqpmp","27","9325"
180,"pta4p4cmm2","25","23179"
181,"p1ittgop7n","25","14743"
182,"p871ada8ob","31","19272"
183,"p1o06oe1de","28","9222"
184,"p8no32nq3l","32","20469"
185,"p2pna17uj1","23","17444"
186,"pgtj2romg3","46","19898"
187,"pffr44qkeg","18","12141"
188,"plogptsmmh","62","4703"
189,"pjvjpu78k8","34","9599"
190,"p33irj0ffk","16","5194"
191,"pf34dn3044","10","20937"
192,"plpduvto91","24","18780"
193,"plns93vs7o","20","12662"
194,"p8i61dg7aj","20","4675"
195,"pqun4lc6ns","42","22645"
196,"p1ah7u2g56","22","11229"
197,"pet87fmvcr","31","17397"
198,"p9lnrnlsms","30","13434"
199,"prbmblmne0","30","18122"
200,"pn65gj7s4h","19","6106"
201,"p2me0e8isk","51","17361"
202,"pbs523t724","25","13716"
203,"pjbc976m1d","26","9396"
204,"pbdpldpj73","26","18592"
205,"phvnhhumf3","22","23937"
206,"pnpunvdb4o","44","11374"
207,"phkoe53d87","21","7408"
208,"pu7m5saf40","30","11170"
209,"pj6ba4vf05","26","13162"
210,"pf18grlf9d","25","13536"
211,"pvsgvkg69g","23","13543"
212,"pah5p7uird","32","10236"
213,"pu5tsq87ao","32","15758"
214,"p7djp63q4a","30","29177"
215,"pqb4420cef","32","6494"
216,"pv8t0tgtp6","15","9659"
217,"poq7tt5vdc","64","18031"
218,"poj79idcf0","5","4166"
219,"pjfq0p7baa","41","14232"
220,"piuhjt7i4q","21","75933"
221,"p7so1ufadf","20","6066"
222,"paa8i86so5","22","6807"
223,"p6e8aeahb6","26","18218"
224,"pg3kt868bu","16","6275"
225,"pdh9s8a00b","31","12180"
226,"p21kbvvmfc","26","9002"
227,"p81rlmhdnb","27","18606"
228,"pkd4jopsf3","27","13374"
229,"po4aj9j1v6","26","9236"
230,"pisuflku9h","62","25106"
231,"p6plqnfn40","25","11104"
232,"phbo0m43bh","20","16626"
233,"pnkoaqnfhp","13","9092"
234,"pp2rfput4o","10","8449"
235,"ptnulohtrd","25","11208"
236,"p42maehcjr","22","14072"
237,"phqenajarg","18","6267"
238,"pspkd94r7m","27","18974"
239,"p1vk9buve4","41","9937"
240,"p6i054u70v","34","12927"
241,"pbpefv3ks8","20","22324"
242,"poorvvdi41","25","15301"
243,"p3dhe9nm4p","22","6435"
244,"p22t9djnso","20","13346"
245,"p2c0gce542","22","7019"
246,"ps4phe4v84","30","19299"
247,"pa7t5e20n4","27","13367"
248,"pqdm63n9np","23","12459"
249,"p6nsqi5atj","25","44393"
250,"pm3cnmlu26","20","28090"
251,"pn812p9ffe","37","8635"
252,"ph8am4qfr8","16","9744"
253,"po0b5rqdhv","33","17158"
254,"pumsid4bdn","32","18551"
255,"pnqtg97b9m","18","7889"
256,"ph18v6t8tc","23","16885"
257,"p3cg7q7aje","25","19438"
258,"po4pu4205j","24","15031"
259,"pikhsb36p9","43","73982"
260,"pbcgofmj9q","22","6998"
261,"pt84g92e6n","17","8557"
262,"pc36g6gpk9","27","24174"
263,"pd089crh0c","20","7617"
264,"pf21ntt7rd","23","9796"
265,"pdnlfv0hlq","28","19777"
266,"p8vndn27hi","25","10035"
267,"phja4u7e5q","30","17115"
268,"phsh405le5","30","12293"
269,"pfghnipkmd","12","19276"
270,"pr5n0cgvnu","20","13781"
271,"p0ajipq59e","20","17995"
272,"ps17df6f7a","20","5834"
273,"p16mhgme64","55","19254"
274,"pj7elj33fb","23","11735"
275,"p425m35pmq","50","36888"
276,"phul8cqcf4","15","16888"
277,"ped7fncafs","25","7907"
278,"pfngsl17d1","15","8659"
279,"p2ptpto6s5","31","23732"
280,"pu87c8je19","15","6457"
281,"pbltdqgj5u","25","15220"
282,"pbjia6u8ls","26","10008"
283,"p4kk2m66ih","16","15707"
284,"pm5h6dkknh","26","9684"
285,"pg7v0posp4","49","20353"
286,"phbmbq04d5","20","20941"
287,"pkftjqo4bo","22","9494"
288,"pv5bo4ccno","10","13316"
289,"p40cfmlag1","23","5852"
290,"plhe7o1oio","19","10849"
291,"plkh2mavui","23","6511"
292,"pcmf5bdpvs","37","32651"
293,"p5h8fcb5gi","17","23308"
294,"pnq0rucdol","20","22165"
295,"plpn96tiv6","22","20019"
296,"p4kqt9gaa6","31","14760"
297,"pqtqojnaa8","30","15132"
298,"p0hq4vm27b","35","53897"
299,"prrs9ujid1","33","22189"
300,"p3olj2a09c","21","7417"
301,"pvmvk3ur5d","20","25702"
302,"plvkvp469u","35","16440"
303,"p95n5lgnk1","64","27477"
304,"p6lagjme82","23","7301"
305,"pk2lrl22fm","44","17830"
306,"pf3ne7haje","19","9757"
307,"pqbo2uv9go","15","11159"
308,"p96k5ojups","23","6047"
309,"pme0qnpl0j","26","8164"
310,"p1tp1lq0m6","25","10618"
311,"peqcc6r3ae","21","8785"
312,"p1qd74rpug","19","14416"
313,"pg3423me4a","27","21641"
314,"p4l2b7gj21","63","15215"
315,"ptsjf14rim","26","21117"
316,"pkd5almter","14","5062"
317,"pesfdcklu5","34","10838"
318,"p9rts1aas1","30","9157"
319,"pkv7chqkit","22","24451"
320,"p1v037flms","15","13067"
321,"pmbthn6dul","13","6406"
322,"pmp32ppshu","39","15698"
323,"ps4dtj5igo","16","8014"
324,"p7qc8llgs1","12","7858"
325,"p4jtgatknu","26","19642"
326,"pis13ir8r7","27","8162"
327,"pm47ha3rkk","33","13915"
328,"pgl419hdma","29","10653"
329,"p6qhrsqnnr","34","10050"
330,"p4mrjba97d","23","7080"
331,"p412gih8pd","20","12116"
332,"p8g9p7ipbc","63","44159"
333,"p7hs4jd3i8","17","6550"
334,"pdi0jkfpes","33","20216"
335,"pprkdp413c","7","6621"
336,"p700des83a","30","26148"
337,"ptjtofbv0r","26","9074"
338,"pevs72fcse","32","12820"
339,"prsil5372c","25","24648"
340,"pakhiuk0o7","26","9645"
341,"pfj3uadeok","26","9721"
342,"pfvmn6joo2","51","24498"
343,"p3qk9cd30b","35","10308"
344,"pcjof6k5g5","56","20587"
345,"p9lpn5p0ki","25","14172"
346,"pnb8vkiqno","20","21781"
347,"pqcv863gue","31","9634"
348,"pjodhduinh","26","8146"
349,"p2hthf58qu","29","10588"
350,"pvjvm8b9ov","20","15438"
351,"pm0mgcurkl","20","10800"
352,"pe4fiu1cgt","52","61360"
353,"ps3qmc4q9s","28","9628"
354,"pv3l5i63ct","23","8624"
355,"p00e6a0jas","20","8537"
356,"pn9ca295d0","25","10446"
357,"pc2fdna9sj","20","11889"
358,"pejiec4i3e","25","9748"
359,"phbiuhbodu","21","13822"
360,"po3mfhkndv","38","12012"
361,"p432838i76","26","17406"
362,"pop9g8irlg","37","16512"
363,"phah58s55i","28","31179"
364,"pdmvag9og5","23","48994"
365,"pi6bvjdmnm","18","10162"
366,"psnjhe53vq","26","11056"
367,"p7kbkggfni","21","88945"
368,"p0167s1t23","19","12246"
369,"pun0tpvo4u","42","11975"
370,"pcgp3iji2a","32","11687"
371,"p7hqn47088","64","26913"
372,"pdhbc9l5tn","10","10329"
373,"psrdl8aori","64","44130"
374,"puemkoirj1","30","13339"
375,"pen5368pto","36","13704"
376,"pdc1fbbvv7","42","20583"
377,"p5sslebg7r","37","12158"
378,"pns5doe91o","25","16067"
379,"pdoihistpk","20","9488"
380,"p70pk1aqkp","25","9797"
381,"pf7j6ei79b","36","11702"
382,"pl2htuius1","25","16165"
383,"p1lja2o35c","20","13150"
384,"pb1fq38aub","15","12968"
385,"pu9louv4mb","64","21577"
386,"pu83bckhgb","26","20623"
387,"pgl9cemrgp","22","11269"
388,"p7lvs1n9k2","20","17919"
389,"p0bkro3lta","50","55973"
390,"prkebjesm6","10","5063"
391,"pti56j6djb","32","22592"
392,"p7k625ak4f","24","57740"
393,"p75hr494ah","42","22455"
394,"pbojb1queb","64","39416"
395,"p7h7jajuqo","22","17284"
396,"ppk3iqmh0t","15","11973"
397,"pngq79f9oh","26","13746"
398,"poerddee8j","32","52860"
399,"p4re9frtkk","58","34188"
400,"pc7o4njlga","28","14728"
401,"p5p6mjstr7","27","9147"
402,"p5mhsoucdd","25","16825"
403,"pj5pg3vpho","30","23156"
404,"pmmr6gnigr","64","28412"
405,"pi5rgi8v72","11","18721"
406,"p2v87b1ptc","17","36752"
407,"pbg0ain4kb","41","12468"
408,"p96598u38r","29","11006"
409,"phg9946oc4","12","16609"
410,"p8a9mskqna","2","6039"
411,"pkjq3adc7k","19","9733"
412,"papv3eqoe6","21","6899"
413,"pabg9cmvjg","21","24183"
414,"pe8ll3r0q7","8","7332"
415,"p09og45pgs","24","13449"
416,"pm52ltv36t","25","15884"
417,"p7a57kt96s","26","19234"
418,"p25blorhcf","32","85758"
419,"prp5hhhb70","22","27407"
420,"pfakkf3lof","26","11524"
421,"p2521vbthn","12","13237"
422,"pkabshp1ui","64","32072"
423,"p21f0qjgpc","20","51279"
424,"pn99nko5dn","11","12258"
425,"pmbb4ihaqq","38","16757"
426,"p96uclig9k","28","8857"
427,"pm6pg4bqjt","26","11639"
428,"p13t0atj0c","30","26248"
429,"pcdsba4mkp","24","12384"
430,"pn5nbd5n3p","25","8176"
431,"pf81lmfh56","38","18124"
432,"pgkedk5gje","24","7044"
433,"po25419ipe","20","6807"
434,"pmj62qhc18","24","15860"
435,"pdt3k4grkg","23","16664"
436,"pm7t55ktr5","44","72123"
437,"plsjqbpirl","10","7108"
438,"plce134lpv","8","81864"
439,"prkdak12ij","31","14140"
440,"pm4fegvie9","36","50766"
441,"p875fo3qvg","25","21019"
442,"ppnpjt6crj","15","15808"
443,"pbt07licgr","27","25577"
444,"pfkuecu7ql","15","9421"
445,"ph6r2htltu","16","13804"
446,"p0h1r83hh7","27","7910"
447,"pt6iq5kg01","25","26965"
448,"pl0htdvbrc","27","14630"
449,"paoguq6fcd","25","16495"
450,"p6u7vknqnq","25","29965"
451,"p83b1rghn9","38","40006"
452,"pg7rbpvn60","17","12750"
453,"pb2hmge234","10","11551"
454,"ps18945kqv","19","11677"
455,"paq2kafu1n","64","50658"
456,"pa02d22d6a","17","11800"
457,"p0evvn3ut5","25","12433"
458,"pp19ncf91k","26","9052"
459,"pphqf8mdu1","42","38213"
460,"p1o8rc2e6j","25","32341"
461,"pajnqhf8lq","63","22308"
462,"p2op1li7ge","32","7739"
463,"p7gahpqpkj","25","44745"
464,"pv20l5fgol","21","7919"
465,"p34hld7b8v","38","10766"
466,"pallfgtgrl","37","17236"
467,"pa5olp1dbo","20","45930"
468,"p714q4qa4f","29","12531"
469,"pqvl89h2vv","18","23668"
470,"p5pjd8l6r4","19","7482"
471,"pua0ii9p4k","26","16199"
472,"popmnak5pq","16","12312"
473,"pb9t1l9k53","26","11035"
474,"pt5t90knuc","11","10607"
475,"p2cb55adde","20","6603"
476,"p1vd7vcot2","28","12149"
477,"po52c1fr6p","20","7818"
478,"pf9j7gd7d1","10","12323"
479,"po4vv4dk36","35","8250"
480,"p11scti9ql","17","9466"
481,"pup2pl8rt5","35","16268"
482,"pgroai2fuh","25","12351"
483,"pl8g479c6u","28","9405"
484,"ps7re1uim8","31","20958"
485,"pj1760fu4c","31","13818"
486,"pi1eakaefq","25","9326"
487,"phfrauvddt","23","19624"
488,"pd227runam","37","13059"
489,"plfbna9159","25","13457"
490,"ph2k6dcf0a","15","12446"
491,"pmc6s0fmvf","33","12067"
492,"p56qrq9h0j","23","32704"
493,"p56qrq9h0j","23","32704"
494,"p5agqgh208","20","14442"
495,"puj3fibisa","17","10230"
496,"pea4oha9vm","37","15347"
497,"puc55nil0u","22","12335"
498,"p689f4befn","28","12398"
499,"pb2m3v12ec","29","12413"
500,"pvk7tne5iu","31","18838"
501,"p3ji333l5q","35","20616"
502,"p9nl86fgsf","16","6288"
503,"pk4b2i1d4t","24","14707"
504,"pou3s25ca6","13","13180"
505,"p4e9nuf6va","30","38062"
506,"p2j5mjv298","36","19174"
507,"ptulfbgfih","63","29785"
508,"prag6uvmp5","35","17574"
509,"pbi22mdfms","31","12082"
510,"pqv6q6idrs","25","28476"
511,"pm4u2t7mmf","5","16659"
512,"puhvlqibhd","10","17912"
513,"p5cnnpklm4","32","24137"
514,"pp96pg3pmu","37","15193"
515,"pf4fm5lpr7","36","12874"
516,"pgh17p2qbn","27","7514"
517,"prmos8a6ig","61","18762"
518,"p4easpq9p8","33","14507"
519,"p566pql2fb","31","37311"
520,"p1rb89gffh","20","42205"
521,"pn55e7hglu","15","17634"
522,"p34008bb8d","46","16845"
523,"p5j32qlb1g","64","28819"
524,"pvvegj7hli","14","5031"
525,"phgodepple","31","15388"
526,"poh4cp40g9","20","8151"
527,"p9149gqh2m","18","14533"
528,"pu16lfsq3f","21","14700"
529,"pk75htrdrl","14","10529"
530,"pab97ocin1","17","13090"
531,"pkg802didd","30","21662"
532,"ptl1v1bmbh","54","17518"
533,"pvnfka380e","42","16248"
534,"p98fpfcnb4","21","11304"
535,"pg0pmfo7f0","23","22035"
536,"p9c4nokfri","15","7638"
537,"ppa9asj9iu","53","28752"
538,"pmbenial7q","28","12133"
539,"pkdnatrak8","10","7077"
540,"poks9k8fl1","50","29645"
541,"p5c535lsec","28","14820"
542,"pg88fd4nsh","12","8976"
543,"panhou88o9","32","17255"
544,"pui9r354ph","50","14986"
545,"pr43a75b9b","31","9714"
546,"p7ki3vimvk","27","32861"
547,"pbeiqan84l","7","11821"
548,"phrtkamo3f","20","21917"
549,"p7570t2ff2","19","19846"
550,"pvnaem4369","15","13264"
551,"pbco11eit4","25","10017"
552,"p5ef9u14sb","23","8934"
553,"pgd7ppeh4f","33","14934"
554,"prpo807r2r","64","27046"
555,"pb4vsrf424","27","11595"
556,"pml2e33s8e","25","23725"
557,"p25knhvsj4","13","16219"
558,"psenf964i3","10","13385"
559,"p2st1k79gc","41","30775"
560,"p8l6rhu6hp","64","22090"
561,"pg66pva8mu","17","8908"
562,"pijp53cd5t","19","13023"
563,"pvbo1o40eo","58","20218"
564,"pfp6t4vkh6","15","295240"
565,"pu8i3f92b0","8","63609"
566,"pmo1mnr1ec","28","42171"
567,"p4056gspd8","64","63815"
568,"p0arubo2hf","64","33562"
569,"phd4bmr0i8","15","17755"
570,"pj20htic1l","21","20525"
571,"pri0hvupjg","22","9994"
572,"pikbh8p11n","49","26133"
573,"pu9u3vl9f7","20","10856"
574,"prjk36nhsg","38","18371"
575,"pjf0u4cjc1","25","13198"
576,"p0gpi0a6v1","20","21278"
577,"p9al9ohkgj","36","11239"
578,"poa9a10rql","22","10111"
579,"p3e2b3vfvo","25","13591"
580,"p0qqkh5442","37","16525"
581,"pdmontttkk","27","28708"
582,"p2fkgb3i1d","31","27359"
583,"p7qghnj7r1","29","27236"
584,"ppnqdk6dl2","15","5825"
585,"pu9llbv8l7","30","18096"
586,"pbfltesp22","24","14164"
587,"ph3bsp1lvr","19","9513"
588,"p626941p7g","31","13249"
589,"p0ig5mopcd","29","8180"
590,"prq3tdfnnb","27","12719"
591,"pc4pdiahcr","25","19924"
592,"phdvocqtdh","31","18751"
593,"pqcolm7nku","24","10218"
594,"p45hii6v71","15","7330"
595,"pukb53oil6","25","18180"
596,"pbes0benml","31","9928"
597,"pmrp7o68o6","25","9787"
598,"ppc9t9bm46","47","15732"
599,"p665li8efm","16","12119"
600,"p0lm91nst3","24","9181"
601,"paclhntdh1","13","10760"
602,"pj4r8cvdtp","36","30725"
603,"pj4ur7382c","28","10711"
604,"pb1cscoora","38","28683"
605,"p5gpnk9dic","24","7711"
606,"ptvcnotetj","12","12313"
607,"pfmr5sg42h","25","14891"
608,"p2bjanqvo7","20","15130"
609,"ppq89ck1ds","17","9758"
610,"ps02r2hltp","26","33957"
611,"p3vt1b3vca","27","18269"
612,"p3qafkl4t0","22","13265"
613,"plscdhacpo","25","22491"
614,"p7ura0re2t","30","15214"
615,"p0mcj2vt8d","17","13804"
616,"ph98tlb6q4","30","15454"
617,"p0rfoufgrm","20","17976"
618,"pb2bdgl971","25","12262"
619,"p76ql4noif","30","12534"
620,"phmlpu32b6","25","21310"
621,"p58u2v4ccd","25","20358"
622,"p5o8svbnhq","25","17117"
623,"p15804ujqf","30","45771"
624,"psca8cprlm","28","13484"
625,"pivbs82pp8","11","33702"
626,"pntsjk6ete","24","21637"
627,"pfkibbg0ld","22","17650"
628,"psdf2gfqu8","41","14038"
629,"ptjt5smlpu","61","32849"
630,"p81ap6chrj","26","14661"
631,"p734dm5r08","24","21036"
632,"p085lk6lsa","25","9116"
633,"pqtlp31nrj","29","11497"
634,"padodhgbto","26","13492"
635,"pd6mivtjvq","29","11102"
636,"pg01kgbfph","31","11553"
637,"pj7cs33kdn","24","27425"
638,"p5bp8eq9n8","25","15158"
639,"p1rrlo9kjr","19","5897"
640,"pd2d6nta56","12","10572"
641,"p5f7um040a","20","7178"
642,"pnq0t6juif","28","8944"
643,"piplmtivtm","15","6565"
644,"p3pj987k9q","31","8780"
645,"pimmg48uv1","53","16200"
646,"p9c0rbdsnm","25","26313"
647,"poqo2653ru","25","19423"
648,"piqit3cnl4","64","46353"
649,"pg6j97a0sq","35","14548"
650,"p977uaho8b","33","29555"
651,"ppm91fc22j","20","12897"
652,"p84q3hi6dc","20","8441"
653,"pgatvmqikl","25","15280"
654,"pqbmp1svmo","21","10522"
655,"pj0v6fjsgs","10","19430"
656,"pi1sdprr1i","24","27850"
657,"pgakgu6hqc","14","22925"
658,"p5uku3kfe0","10","7786"
659,"p4nqsnridj","15","9875"
660,"ptvddd1kcb","46","18998"
661,"pk4nhpojus","11","12028"
662,"p218nle8mh","25","16397"
663,"ppql5aa0sg","42","14770"
664,"pk310v70o1","16","16691"
665,"p34jmpo88f","15","12295"
666,"pap7q8aa3i","14","9527"
667,"pqpvdcba9q","16","9828"
668,"pcgjn71sis","24","13361"
669,"p7po8kel1s","29","8778"
670,"p0t1o8bg14","27","16705"
671,"pvse8fc08t","22","7619"
672,"p3mhdvmmnv","24","8292"
673,"pkk3lo9v4e","32","8790"
674,"pd2gpvnm01","25","12439"
675,"p2upcebb5o","26","8152"
676,"pd23q0fgte","41","12119"
677,"ppj489ksh5","34","26650"
678,"p04ui3j1q7","45","13691"
679,"p1mnhod90b","21","12467"
680,"pnqkdqu7kv","41","12377"
681,"pu9pm03pvi","38","16758"
682,"pl4n1g2k72","25","16302"
683,"p9tm02k843","26","25610"
684,"pc66urv9r9","27","10913"
685,"pr71rtka9m","21","27214"
686,"pbtt1eqtld","25","18824"
687,"pslauj167o","16","7346"
688,"ptfum7acli","20","9621"
689,"psngg50si7","27","11915"
690,"p87cpp7u2c","20","11265"
691,"pk1kv9l3k3","41","11472"
692,"p2ebhkl02a","10","18120"
693,"pfppe02lr1","27","11643"
694,"pttqtn02ut","17","18732"
695,"ppcfdsa9or","26","14807"
696,"p54a9se3hs","26","15681"
697,"peoqph9qsg","18","6148"
698,"p3o147k232","20","8499"
699,"p6pl41t848","21","8261"
700,"pk6tcg73ep","25","17873"
701,"pnjs7t8eav","33","10456"
702,"pb0t3diuej","16","15750"
703,"pse4itnkqd","26","29601"
704,"pn2rd6kiaj","25","9345"
705,"p7itj97935","25","9911"
706,"pe19eu8f5j","13","6554"
707,"pphbdesb36","32","11226"
708,"pjujc50mfv","22","9814"
709,"pbcemmc84c","25","10756"
710,"po9cqcifpk","32","9970"
711,"ptachhm3bi","27","12487"
712,"puv7bc69ft","18","8604"
713,"p1rn7l58s4","43","26703"
714,"prigue3r0l","45","19723"
715,"p92g03gccd","64","18322"
716,"p7gmau1mcf","20","7418"
717,"p5gd6dj3r4","36","15353"
718,"pvtcdf8i38","29","22740"
719,"p8oitat33i","8","6156"
720,"pnlh6931qr","13","8279"
721,"pcv3124ion","36","24333"
722,"pdsc2e1k3c","25","20885"
723,"pa3pjcd12u","22","10637"
724,"pjlfp2imvb","55","15246"
725,"ph4aksb45f","29","22088"
726,"p5jhkon19d","34","30562"
727,"ptt8ovcot2","17","19530"
728,"puo5ouv79l","25","16648"
729,"pvn7s7cu0m","30","24120"
730,"p1l4dqjte2","22","15033"
731,"po401f9o36","56","14509"
732,"p9mue6aht9","40","19475"
733,"p3uvr27l2d","8","6663"
734,"plbps1h8jr","22","23793"
735,"p2a0j57skb","34","12017"
736,"pdfk5dij3q","18","13724"
737,"pbki0fuqqc","23","19549"
738,"p8rq4iafm7","40","16240"
739,"ptdtse6gag","35","16873"
740,"p94aq88cnr","20","8822"
741,"p4d0thcgfe","56","20667"
742,"pm8rdvj1tn","12","14150"
743,"pqd8ou00qj","13","8436"
744,"pfgll3n1o2","31","10820"
745,"pio6r28ti6","28","9810"
746,"pdgkjei1n6","27","13399"
747,"pb0ma36n3b","20","21239"
748,"pur9sqtj06","33","19394"
749,"peb92s417h","32","11245"
750,"pign4ooq60","19","22072"
751,"p3qsvhiq2r","34","23163"
752,"p7jujqdvd0","26","10955"
753,"plqabcq22l","27","19650"
754,"p110fc4ak7","10","9536"
755,"pboa6ob573","43","19629"
756,"pt1kftc8lc","25","10955"
757,"pchsk1eqj8","15","15631"
758,"pk82s6jfsm","26","15016"
759,"pfi6r8p08h","30","24248"
760,"p2t9osesfp","12","8097"
761,"pbbsr0k0et","22","6076"
762,"pf9n645ghj","29","19800"
763,"p7lhcqq138","28","12577"
764,"ptrftbn5h1","13","22276"
765,"pvifpj5bh7","26","8695"
766,"pcpbp823s4","17","14530"
